Generation;NE;CIlower;CIupper;Cluster
0;1690;1570;1820;Beauce
1;1720;1610;1840;Beauce
2;1720;1620;1820;Beauce
3;1660;1570;1740;Beauce
4;1540;1470;1600;Beauce
5;1350;1300;1390;Beauce
6;1110;1080;1130;Beauce
7;846;824;865;Beauce
8;918;879;978;Beauce
9;1420;1350;1530;Beauce
10;2220;2090;2370;Beauce
11;3570;3370;3820;Beauce
12;6220;5850;6670;Beauce
13;12600;11900;13600;Beauce
14;39400;37400;41800;Beauce
0;129000;10500;141000;UrbanQc
1;110000;87600;120000;UrbanQc
2;92600;86400;1e+05;UrbanQc
3;76400;71600;82100;UrbanQc
4;61000;57400;65300;UrbanQc
5;45600;42900;48800;UrbanQc
6;28400;26900;31900;UrbanQc
7;11500;10900;12100;UrbanQc
8;7840;7680;8000;UrbanQc
9;6550;6410;6630;UrbanQc
10;8320;7960;8890;UrbanQc
11;13100;12600;13600;UrbanQc
12;20500;19800;21200;UrbanQc
13;35400;34100;36800;UrbanQc
14;79500;76100;83400;UrbanQc
0;5310;4720;5870;SLSJ
1;4750;4260;5210;SLSJ
2;4180;3790;4560;SLSJ
3;3610;3300;3910;SLSJ
4;3010;2770;3240;SLSJ
5;2350;2170;2510;SLSJ
6;1560;1450;1650;SLSJ
7;706;679;727;SLSJ
8;512;498;527;SLSJ
9;530;509;565;SLSJ
10;828;783;890;SLSJ
11;1280;1210;1360;SLSJ
12;2050;1930;2180;SLSJ
13;3650;3440;3890;SLSJ
14;8650;8120;9260;SLSJ
