Decade;Probands_region;MeanF;FCIlower;FCIhigher;MeanPhi;PhiCIlower;PhiCIhigher
1640;Beauce;0;0;0;5.04388177141128e-07;0;1.85049983430458e-06
1640;Montreal;0;0;0;6.24918279917242e-07;0;1.68321682395068e-06
1640;SLSJ;0;0;0;4.56771593191911e-07;0;1.4852180192089e-06
1650;Beauce;0;0;0;4.29722346692538e-05;1.9234429068041e-05;7.47589487155816e-05
1650;Montreal;0;0;0;2.41465170255898e-05;1.23152274738138e-05;4.05312613238086e-05
1650;SLSJ;0;0;0;2.74237994701322e-05;1.26660308213608e-05;4.76997068914816e-05
1660;Beauce;0;0;0;4.8054112145793e-05;2.64749536620656e-05;7.60174666400846e-05
1660;Montreal;0;0;0;2.73879315449754e-05;1.63722220083382e-05;4.26720662346427e-05
1660;SLSJ;0;0;0;3.22625610403158e-05;1.82277028949943e-05;5.06356347492882e-05
1670;Beauce;0;0;0;4.37405892273928e-05;3.14351256303805e-05;5.80609175943846e-05
1670;Montreal;0;0;0;2.42949071617644e-05;1.83204476420694e-05;3.10725481963958e-05
1670;SLSJ;0;0;0;3.44061098148986e-05;2.56838561049171e-05;4.4440773285011e-05
1680;Beauce;0;0;0;0.000254244366401374;0.000188358923478081;0.000331780010983556
1680;Montreal;0;0;0;0.000109018982766597;8.64436332168503e-05;0.000135548356812868
1680;SLSJ;0;0;0;0.000168990778266717;0.000130423339098355;0.00021335998874098
1690;Beauce;0;0;0;0.000295136073040846;0.000250640653791326;0.000345854602842496
1690;Montreal;0;0;0;0.000141407071820719;0.00012329084968489;0.00016070100599186
1690;SLSJ;0;0;0;0.000214160557714199;0.00018474080341834;0.000246869140506992
1700;Beauce;0;0;0;0.000295051477736595;0.000257710682157115;0.000333893801593719
1700;Montreal;0;0;0;0.000144080321294803;0.000131124536980076;0.000158484697188967
1700;SLSJ;0;0;0;0.000212852550949887;0.00019053386292731;0.000236725103299656
1710;Beauce;1.26723438767234e-05;0;5.1e-05;0.000497112418214009;0.000438903318541735;0.000559788492082108
1710;Montreal;4.8374613003096e-06;0;1.7e-05;0.000205325157249702;0.000189042361852408;0.000222706650285114
1710;SLSJ;7.9638124362895e-06;0;2.8e-05;0.000321971180193306;0.000292143734314081;0.000354174286238602
1720;Beauce;5.59234073013601e-06;0;3.1e-05;0.000526098903366019;0.000474670920506394;0.000583491395114043
1720;Montreal;1.11953666109386e-05;2e-06;4.5e-05;0.000231504411006538;0.000217406982118488;0.000245966512801113
1720;SLSJ;0;0;0;0.000363182643372877;0.000334020049695362;0.000395325821301918
1730;Beauce;2.36742424242424e-05;0;0.00012;0.00062817893822243;0.000574158610000308;0.000686082266984755
1730;Montreal;2.55636472466081e-05;1.1e-05;5.7e-05;0.000189975349321669;0.000180850181647438;0.000199718874336003
1730;SLSJ;2.75951726844584e-05;3e-06;8.9e-05;0.000409626791775762;0.000380037175525084;0.000439960223899155
1740;Beauce;9.98402555910543e-06;0;6.5e-05;0.000747182066238775;0.000687497673733117;0.000805723900579191
1740;Montreal;4.15428526743822e-05;2.1e-05;7.8e-05;0.000280554957831472;0.000269869130471273;0.000291217326203577
1740;SLSJ;2.77695497630332e-05;6e-06;0.000105;0.000514501837281396;0.000479675298598132;0.000550723259024955
1750;Beauce;0.000202345914127424;0.00013;0.000322;0.000898926977878107;0.000842941631532126;0.000956038709706108
1750;Montreal;0.000172801823926918;0.000133;0.000221;0.000361225597400408;0.000350664853918587;0.000372043214498879
1750;SLSJ;0.000179929236990155;0.000118;0.000284;0.000660672299929692;0.000623547751194715;0.000698955783786176
1760;Beauce;0.000468936774248634;0.000335;0.00065;0.000894569726480065;0.000831848070997419;0.000962237056746455
1760;Montreal;0.000278328183772166;0.000234;0.000334;0.000294778926865649;0.000287092930708018;0.000303013658938271
